	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
100287896_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287898_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287932_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288072_at	1	1	1	1	1	1	1	1	1	1	2	1	1	4
100288142_at	5	5	5	4	5	5	5	5	5	5	5	5	4	5
100288287_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288323_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288332_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288413_at	3	4	3	3	4	4	4	4	4	4	3	4	3	2
100288485_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288562_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288687_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288695_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288797_at	6	5	6	5	5	4	5	5	5	5	5	5	4	6
100288801_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100288960_at	1	2	2	1	1	1	1	1	2	1	2	1	2	3
100289187_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100289561_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100289635_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100289678_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100293516_at	3	3	3	2	3	3	3	3	3	2	3	4	2	1
1003_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100303755_at	5	4	5	5	4	5	5	4	4	5	4	5	3	5
100310812_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100310846_at	1	1	1	1	1	1	1	2	1	2	2	2	2	3
10036_at	7	7	7	6	6	6	7	6	6	6	6	7	5	7
10038_at	1	1	1	1	1	1	1	1	1	1	3	2	1	5
100381270_at	7	7	7	6	7	6	7	7	7	7	7	7	5	5
10039_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1004_at	3	3	2	3	3	3	3	4	4	3	3	3	3	4
10040_at	1	1	1	1	1	1	1	1	1	1	1	1	1	3
10042_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100423062_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10043_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100431172_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10044_at	3	3	3	2	3	3	3	3	3	3	3	4	2	3
10045_at	4	4	5	4	4	3	4	4	4	4	4	4	3	5
100462981_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
