	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
10464_at	0	0.097827961	0	0.07060878	0	0.103763617	0	0	0.104361772	0.074182962	0.099734338	0.095212848	0.224435881	0
10465_at	3.441176038	3.622305062	3.679146421	3.282518789	4.256659962	4.170419853	3.896944867	4.079504845	3.963743918	3.591943163	2.466135116	4.235422642	3.384984375	1.744394626
10466_at	2.687606586	3.484807405	3.055605615	4.264681323	4.408079829	3.756402888	3.988510294	3.828037763	4.878386406	2.665023161	2.458338909	3.214532961	3.059640826	5.122224821
10467_at	0.146388921	0.23252485	0	0	0	0	0	0	0	0	0	0.226580414	0	0
10468_at	0.112566719	0	0	0.130940536	0.315860027	0	0.068496894	0.132178915	0	0.137426559	0.094622561	0.216021594	0.110635462	0.258023928
10469_at	4.782018591	4.336205677	4.033674043	3.545421162	3.596124847	4.030160111	3.763423441	3.866887045	4.548840493	3.760343969	4.993282532	4.116884969	4.740873452	6.656176681
1047_at	3.639068471	4.002658592	3.807099983	4.073074371	3.96642633	4.875648852	3.887195984	4.98017977	5.173444988	4.745033047	3.456782701	4.839400297	4.305609636	3.896470732
10471_at	6.21288384	5.622810124	5.708264754	5.336606756	5.182398938	4.929645308	4.81039798	5.393522747	4.773905629	5.19114545	5.865007212	5.106805254	5.149688115	7.990328497
10472_at	0.033401509	0	0.049378294	0.077029325	0	0	0.078796602	0	0.057986788	0.04102701	0.735704567	0.334657906	0	0
10473_at	6.273460672	5.963951886	5.841859237	6.046132793	5.804037148	6.533047189	6.134877411	6.115747082	6.015077408	6.188561499	6.200480927	6.048381687	5.760495081	6.359414907
10474_at	5.219643754	4.279786941	5.234517965	5.065387669	4.528642784	5.12995928	4.434729906	5.421820131	4.53676147	4.996103985	5.189624201	5.446630663	5.01941887	4.681641592
10475_at	6.57596441	6.501237176	6.410386466	6.077862763	6.329265916	6.771077861	5.983805476	6.255085725	6.318519545	6.368538516	6.249852676	6.848464352	6.384394235	5.132181919
10476_at	0	0	0	0.365646374	0.580540447	0	0	0.662321804	0	0.382323285	0	0.835660681	0	1.130407876
10477_at	0	0	0	0.033892644	0	0	0	0	0	0.070403592	0.048124492	0.112135965	0.056421955	0.13487497
10478_at	0.367159144	0.250765465	0.516846725	0.346462551	0.159041215	0.265168087	0.571645185	0.630640003	0.383466745	0.279948888	0.660838304	0.635784926	0	0
1048_at	0.643829718	1.09333698	1.70096597	1.18039264	1.031372738	0.680306208	1.262997777	0.941723338	0.750040494	0.759342173	1.202324377	0.948684077	1.130855103	0.273614882
10480_at	0.227086962	0.188503143	0	0	0	0	0.268175588	0	0.376834192	0.50577606	0.192062677	0.560751838	0.223337259	1.159746576
