	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
NSA2	-2.45162394003664	-0.800530266134413	0.850563407767817	0	-0.91270349698947	-2.96502936349372e-05
MPP4	-4.50298274700607	-1.90125938206923	1.80119309880243	0	-0.913483392416196	-2.96502936349372e-05
PRDX3	-2.40159079840324	-0.750497124501012	0.800530266134416	0	-0.914464115306527	-2.96502936349372e-05
COA5	-2.60172336493685	-0.800530266134413	0.900596549401214	0	-0.915106794277544	-2.96502936349372e-05
ARL6IP5	-3.20212106453766	-0.950629691034615	1.05069597430142	0	-0.91542107267479	-2.96502936349372e-05
TFCP2	-3.35222048943787	-1.00066283266802	1.15076225756822	0	-0.916774941755789	-2.96502936349372e-05
CALHM6	-3.15208792290426	-0.950629691034615	1.10072911593482	0	-0.916819791748404	-2.96502936349372e-05
ABCB1	-3.80251876413847	-1.05069597430142	1.20079539920162	0	-0.91770567661755	-2.96502936349372e-05
CDKN2AIPNL	-2.55169022330344	-0.800530266134413	0.900596549401214	0	-0.918516314332623	-2.96502936349372e-05
RMND5B	-2.80185593147045	-0.800530266134413	0.900596549401214	0	-0.918928783415046	-2.96502936349372e-05
CPLANE2	-4.75314845517308	-1.70112681553563	1.85122624043583	0	-0.919483800307828	-2.96502936349372e-05
FAM13B	-2.75182278983705	-0.850563407767817	0.900596549401214	0	-0.919508040223505	-2.96502936349372e-05
KPNA3	-2.70178964820365	-0.800530266134413	0.900596549401214	0	-0.920976613317884	-2.96502936349372e-05
NUDT15	-4.45294960537266	-1.85122624043583	1.75115995716903	0	-0.922088765351798	-2.96502936349372e-05
SCAF11	-2.45162394003664	-0.750497124501012	0.800530266134416	0	-0.925571682499741	-2.96502936349372e-05
MUC3A	-4.40291646373929	-2.05135880696944	1.75115995716903	0	-0.926010344971466	-2.96502936349372e-05
ZBED3	-3.50231991433806	-1.05069597430142	1.15076225756822	0	-0.92762707207108	-2.96502936349372e-05
PLEKHG6	-5.3535461547739	-1.80119309880243	2.70178964820365	0	-0.928439820459921	-2.96502936349372e-05
URM1	-4.30285018047248	-1.30086168246842	1.45096110736863	0	-0.928679234689848	-2.96502936349372e-05
